,loss,mse,val_loss,val_mse
30,97.5196533203125,97.5196533203125,82.82672119140625,82.82672119140625
31,97.46305847167969,97.46305847167969,82.78620910644531,82.78620910644531
32,97.49394989013672,97.49394989013672,82.82742309570312,82.82742309570312
33,97.45748901367188,97.45748901367188,82.9282455444336,82.9282455444336
34,97.47554779052734,97.47554779052734,82.83721923828125,82.83721923828125
35,97.45455932617188,97.45455932617188,82.88253021240234,82.88253021240234
36,97.46440124511719,97.46440124511719,82.9383773803711,82.9383773803711
37,97.48269653320312,97.48269653320312,82.83517456054688,82.83517456054688
38,97.47649383544922,97.47649383544922,82.83025360107422,82.83025360107422
39,97.49076080322266,97.49076080322266,82.8018569946289,82.8018569946289
40,97.48221588134766,97.48221588134766,82.77949523925781,82.77949523925781
41,97.48302459716797,97.48302459716797,82.79875946044922,82.79875946044922
42,97.4869384765625,97.4869384765625,82.78839874267578,82.78839874267578
43,97.49188232421875,97.49188232421875,82.75049591064453,82.75049591064453
44,97.51713562011719,97.51713562011719,82.79806518554688,82.79806518554688
45,97.51045989990234,97.51045989990234,82.77710723876953,82.77710723876953
46,97.46986389160156,97.46986389160156,82.8669204711914,82.8669204711914
47,97.48055267333984,97.48055267333984,82.94412994384766,82.94412994384766
48,97.49110412597656,97.49110412597656,82.98954010009766,82.98954010009766
49,97.4801025390625,97.4801025390625,83.00410461425781,83.00410461425781
50,97.48987579345703,97.48987579345703,83.11154174804688,83.11154174804688
51,97.47453308105469,97.47453308105469,83.03649139404297,83.03649139404297
52,97.49046325683594,97.49046325683594,82.9273452758789,82.9273452758789
53,97.47516632080078,97.47516632080078,82.88550567626953,82.88550567626953
54,97.48638153076172,97.48638153076172,82.9576644897461,82.9576644897461
0,97.46026611328125,97.46026611328125,82.9222183227539,82.9222183227539
1,97.46503448486328,97.46503448486328,82.92129516601562,82.92129516601562
2,97.47534942626953,97.47534942626953,82.9107894897461,82.9107894897461
3,97.47633361816406,97.47633361816406,82.907470703125,82.907470703125
4,97.4686050415039,97.4686050415039,82.97822570800781,82.97822570800781
5,97.50031280517578,97.50031280517578,82.9805679321289,82.9805679321289
6,97.48485565185547,97.48485565185547,82.95398712158203,82.95398712158203
7,97.48650360107422,97.48650360107422,82.94425964355469,82.94425964355469
8,97.48712921142578,97.48712921142578,82.96000671386719,82.96000671386719
9,97.4716567993164,97.4716567993164,83.00286102294922,83.00286102294922
10,97.48948669433594,97.48948669433594,82.96839141845703,82.96839141845703
11,97.49434661865234,97.49434661865234,83.07612609863281,83.07612609863281
12,97.4877700805664,97.4877700805664,83.00883483886719,83.00883483886719
13,97.47892761230469,97.47892761230469,82.96209716796875,82.96209716796875
14,97.47554779052734,97.47554779052734,83.10350799560547,83.10350799560547
15,97.49279022216797,97.49279022216797,82.97193145751953,82.97193145751953
16,97.48699188232422,97.48699188232422,82.98441314697266,82.98441314697266
17,97.48343658447266,97.48343658447266,83.06915283203125,83.06915283203125
18,97.47637939453125,97.47637939453125,82.88984680175781,82.88984680175781
19,97.47193145751953,97.47193145751953,82.9563217163086,82.9563217163086
20,97.45623016357422,97.45623016357422,82.97327423095703,82.97327423095703
21,97.47598266601562,97.47598266601562,82.9127426147461,82.9127426147461
22,97.51126861572266,97.51126861572266,82.95668029785156,82.95668029785156
23,97.48178100585938,97.48178100585938,82.88226318359375,82.88226318359375
