mu,sigma^2,energy,err
0.417514,0.960549,-0.238077,0.00114905
0.417514,0.960549,-0.238077,0.00114905
0.417514,0.960549,-0.238077,0.00114905
0.417514,0.960549,-0.238077,0.00114905
0.603062,0.854977,-0.230997,0.00107777
0.504459,0.94472,-0.224081,0.00106488
0.335222,1.05672,-0.225312,0.00098797
0.122499,0.910937,-0.244382,0.000685867
0.358922,1.08688,-0.208639,0.00123774
0.358922,1.08688,-0.208639,0.00123774
0.358922,1.08688,-0.208639,0.00123774
0.15738,1.01439,-0.248887,0.000876191
0.403337,1.06007,-0.204506,0.00126502
0.403337,1.06007,-0.204506,0.00126502
0.299491,1.02198,-0.238499,0.000901181
0.299491,1.02198,-0.238499,0.000901181
0.470473,1.08433,-0.167032,0.00146128
0.41184,1.09574,-0.185013,0.00129917
0.355723,1.22806,-0.131234,0.00165713
0.355723,1.22806,-0.131234,0.00165713
0.355723,1.22806,-0.131234,0.00165713
0.355723,1.22806,-0.131234,0.00165713
0.355723,1.22806,-0.131234,0.00165713
0.170702,1.22944,-0.188348,0.00131396
0.109694,1.05101,-0.245182,0.000838644
0.121019,0.851965,-0.231462,0.00058398
0.0471649,1.04762,-0.247993,0.000893823
0.0471649,1.04762,-0.247993,0.000893823
0.143905,1.26758,-0.173332,0.00154847
0.143905,1.26758,-0.173332,0.00154847
0.154486,1.22517,-0.193389,0.00125032
0.0264874,1.35095,-0.134818,0.00155568
0.0264874,1.35095,-0.134818,0.00155568
0.0264874,1.35095,-0.134818,0.00155568
0.0857201,1.40572,-0.0933625,0.00160637
0.269954,1.18288,-0.187123,0.00136329
0.269954,1.18288,-0.187123,0.00136329
0.269954,1.18288,-0.187123,0.00136329
0.269954,1.18288,-0.187123,0.00136329
0.269954,1.18288,-0.187123,0.00136329
0.150329,1.07769,-0.239572,0.000922562
0.0926264,0.838903,-0.22557,0.000596357
0.292862,0.657629,-0.183941,0.000450535
0.292862,0.657629,-0.183941,0.000450535
0.457973,0.614967,-0.248946,0.000507437
0.457973,0.614967,-0.248946,0.000507437
0.421033,0.833594,-0.261506,0.000646577
0.421033,0.833594,-0.261506,0.000646577
0.440449,0.744747,-0.261943,0.000545058
0.440449,0.744747,-0.261943,0.000545058
0.440449,0.744747,-0.261943,0.000545058
0.207307,0.792173,-0.221915,0.000534246
0.207307,0.792173,-0.221915,0.000534246
0.0170358,0.726693,-0.167443,0.000520009
0.100831,0.844432,-0.227578,0.000558664
0.202168,1.06356,-0.239174,0.000928419
0.231832,1.02926,-0.243728,0.000944704
0.344027,0.808864,-0.250864,0.000599038
0.528301,0.710967,-0.284403,0.000622851
0.478328,0.741094,-0.271628,0.000632966
0.716296,0.62568,-0.328369,0.00069431
0.530567,0.761174,-0.277271,0.000730922
0.463125,0.754303,-0.268791,0.000693543
0.463125,0.754303,-0.268791,0.000693543
0.65828,0.58805,-0.341937,0.000576683
0.562809,0.519716,-0.300232,0.000377134
0.566657,0.601486,-0.304627,0.000418728
0.566657,0.601486,-0.304627,0.000418728
0.671544,0.566943,-0.353526,0.00050822
0.671544,0.566943,-0.353526,0.00050822
0.826893,0.505101,-0.38422,0.000634071
0.741754,0.421991,-0.426992,0.000279149
0.741754,0.421991,-0.426992,0.000279149
0.741754,0.421991,-0.426992,0.000279149
0.741754,0.421991,-0.426992,0.000279149
0.741754,0.421991,-0.426992,0.000279149
0.741754,0.421991,-0.426992,0.000279149
0.744963,0.416412,-0.429655,0.000299588
0.744963,0.416412,-0.429655,0.000299588
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.789024,0.427542,-0.434701,0.000319769
0.731481,0.44635,-0.417183,0.00034387
0.731481,0.44635,-0.417183,0.00034387
0.548319,0.658162,-0.295187,0.000537499
0.548319,0.658162,-0.295187,0.000537499
0.548319,0.658162,-0.295187,0.000537499
0.548319,0.658162,-0.295187,0.000537499
0.608205,0.682107,-0.303479,0.000648507
