mu,sigma^2,energy,err
0.400521,1.08695,-0.194402,0.00130806
0.573511,0.847426,-0.245017,0.00100093
0.390854,0.983085,-0.236273,0.000936597
0.513146,0.738296,-0.278744,0.000695477
0.488669,0.753313,-0.274635,0.000655385
0.573454,0.912934,-0.213782,0.00130956
0.641043,0.756783,-0.270821,0.000912393
0.651758,0.519672,-0.359156,0.000396136
0.644533,0.292136,-0.323416,0.000408535
0.682938,0.422934,-0.395837,0.000261837
0.544858,0.619412,-0.29349,0.000558378
0.544858,0.619412,-0.29349,0.000558378
0.469732,0.862392,-0.25592,0.000799535
0.469732,0.862392,-0.25592,0.000799535
0.234158,0.902081,-0.248923,0.000712181
0.308917,0.820932,-0.246448,0.00062798
0.15015,0.893251,-0.244178,0.000702769
0.0515281,1.10369,-0.238038,0.000922589
0.0766146,0.96501,-0.249512,0.000637981
0.200685,1.05792,-0.239573,0.00095192
0.250734,0.967756,-0.251824,0.000722179
0.367659,1.18055,-0.155713,0.00140763
0.375293,1.33568,-0.0397892,0.00218629
0.58254,1.1528,-0.0277206,0.00182493
0.51129,1.03782,-0.173063,0.00127082
0.582689,1.28249,0.107618,0.00228398
0.582689,1.28249,0.107618,0.00228398
0.481212,1.05936,-0.174521,0.00138754
0.481212,1.05936,-0.174521,0.00138754
0.481212,1.05936,-0.174521,0.00138754
0.419742,1.00852,-0.222892,0.00113233
0.353853,1.14682,-0.182434,0.00130391
0.393359,1.36098,-0.00828678,0.00219147
0.393359,1.36098,-0.00828678,0.00219147
0.18772,1.24767,-0.175994,0.00150371
0.323113,1.20418,-0.158815,0.00145145
0.569828,1.2861,0.0963209,0.00243014
0.535866,1.22729,-0.00745832,0.00201338
0.413876,1.13583,-0.160272,0.00141756
0.325559,1.0996,-0.211942,0.00113348
0.43525,1.05561,-0.196713,0.00132332
0.561496,0.993284,-0.173944,0.00149667
0.472412,1.039,-0.190022,0.00129292
0.259907,0.920469,-0.252207,0.000749629
0.487717,0.884417,-0.249029,0.000981396
0.652346,1.07213,-0.0297683,0.00186449
0.652346,1.07213,-0.0297683,0.00186449
0.446199,1.31317,-0.0101194,0.00207883
0.20849,1.32177,-0.129569,0.00162299
0.20849,1.32177,-0.129569,0.00162299
0.20849,1.32177,-0.129569,0.00162299
0.444225,1.44429,0.125687,0.00275556
0.553882,1.32009,0.111509,0.00270347
0.557478,1.40186,0.208753,0.00298024
0.76951,1.44545,0.739783,0.00378256
0.76951,1.44545,0.739783,0.00378256
0.76951,1.44545,0.739783,0.00378256
0.70429,1.24481,0.253254,0.00288518
0.498385,1.23565,-0.0378075,0.00184667
0.471119,1.11545,-0.147702,0.00143157
0.262715,1.06277,-0.232991,0.00106556
0.0586507,0.815818,-0.215806,0.000521081
0.0455425,0.719897,-0.164408,0.000532586
0.047612,0.673417,-0.131827,0.00060136
0.275535,0.761587,-0.225476,0.000550232
0.275535,0.761587,-0.225476,0.000550232
0.275535,0.761587,-0.225476,0.000550232
0.328172,1.00858,-0.239417,0.000840582
0.427345,1.02945,-0.211072,0.00128984
0.427345,1.02945,-0.211072,0.00128984
0.390076,0.936414,-0.249081,0.000862047
0.488494,0.94352,-0.229173,0.00115652
0.330363,0.842574,-0.251925,0.000681335
0.112131,1.04795,-0.246203,0.000875062
0.097787,0.887966,-0.239513,0.000551904
0.00546391,0.924927,-0.244846,0.000666844
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.0261762,0.696283,-0.148014,0.000497133
0.106017,0.515054,0.0249219,0.000642426
0.106017,0.515054,0.0249219,0.000642426
0.106017,0.515054,0.0249219,0.000642426
0.205053,0.696836,-0.177588,0.00056965
0.375635,0.832427,-0.256091,0.000632247
0.58947,0.738531,-0.285293,0.000768152
0.500664,0.606004,-0.270283,0.000467685
0.678042,0.603376,-0.340288,0.00061447
0.633917,0.736638,-0.280106,0.000938997
0.633917,0.736638,-0.280106,0.000938997
0.50974,0.774935,-0.27209,0.000767649
0.745783,0.708093,-0.260143,0.000945662
0.711619,0.499354,-0.390859,0.000428081
0.711619,0.499354,-0.390859,0.000428081
0.797812,0.415185,-0.439225,0.000358243
0.560278,0.266779,-0.195068,0.000554169
0.468337,0.475706,-0.202085,0.000540318
0.468337,0.475706,-0.202085,0.000540318
0.595348,0.254981,-0.224928,0.000609198
0.595348,0.254981,-0.224928,0.000609198
0.741429,0.4724,-0.410218,0.0004037
0.510103,0.462039,-0.238729,0.000502277
0.58478,0.40672,-0.305567,0.000372202
0.58478,0.40672,-0.305567,0.000372202
0.763895,0.53455,-0.380476,0.0006104
0.893108,0.358325,-0.40833,0.000335922
0.893108,0.358325,-0.40833,0.000335922
0.673348,0.235546,-0.240874,0.000639871
0.670542,0.337199,-0.376853,0.000288234
0.670542,0.337199,-0.376853,0.000288234
0.670542,0.337199,-0.376853,0.000288234
0.611017,0.384287,-0.329709,0.000322589
0.611017,0.384287,-0.329709,0.000322589
0.659194,0.285399,-0.328278,0.000406716
0.659194,0.285399,-0.328278,0.000406716
0.807497,0.5173,-0.382355,0.000706414
0.85688,0.526837,-0.348461,0.000779158
0.984823,0.476025,-0.233979,0.000805233
0.80534,0.326309,-0.426799,0.000304975
0.80534,0.326309,-0.426799,0.000304975
0.93913,0.241407,-0.182372,0.000673066
0.903925,0.383584,-0.401225,0.000451322
0.877371,0.440704,-0.399543,0.000466442
0.877371,0.440704,-0.399543,0.000466442
