mu,sigma^2,energy,err
0.579734,0.711706,-0.290961,0.000789939
0.732001,0.928969,-0.0753904,0.00172586
0.627024,0.78867,-0.257547,0.00102308
0.627024,0.78867,-0.257547,0.00102308
0.627024,0.78867,-0.257547,0.00102308
0.627024,0.78867,-0.257547,0.00102308
0.701758,0.804716,-0.21294,0.00129563
0.499457,0.840545,-0.261041,0.000848039
0.4526,0.807816,-0.26568,0.000778337
0.4526,0.807816,-0.26568,0.000778337
0.45147,0.997126,-0.217104,0.00113228
0.45147,0.997126,-0.217104,0.00113228
0.488442,1.01182,-0.201667,0.00118739
0.488442,1.01182,-0.201667,0.00118739
0.504698,0.907238,-0.239961,0.000907047
0.715738,0.746495,-0.248883,0.000937542
0.715738,0.746495,-0.248883,0.000937542
0.504632,0.607165,-0.272507,0.000502499
0.504632,0.607165,-0.272507,0.000502499
0.504632,0.607165,-0.272507,0.000502499
0.504632,0.607165,-0.272507,0.000502499
0.6651,0.572582,-0.3487,0.000659202
0.6651,0.572582,-0.3487,0.000659202
0.6651,0.572582,-0.3487,0.000659202
0.557298,0.516871,-0.296269,0.000379781
0.490198,0.635196,-0.27033,0.000465458
0.490198,0.635196,-0.27033,0.000465458
0.490198,0.635196,-0.27033,0.000465458
0.490198,0.635196,-0.27033,0.000465458
0.650032,0.735129,-0.280029,0.000831691
0.78134,0.624162,-0.309423,0.000882305
0.78134,0.624162,-0.309423,0.000882305
0.650022,0.432516,-0.370598,0.000313312
0.446284,0.471216,-0.175852,0.000466233
0.446284,0.471216,-0.175852,0.000466233
0.335541,0.572716,-0.151167,0.000579941
0.335541,0.572716,-0.151167,0.000579941
0.134347,0.682911,-0.15197,0.000463276
0.219139,0.792016,-0.224159,0.000581376
0.44741,0.96669,-0.231785,0.00111066
0.44741,0.96669,-0.231785,0.00111066
0.44741,0.96669,-0.231785,0.00111066
0.44741,0.96669,-0.231785,0.00111066
0.44741,0.96669,-0.231785,0.00111066
0.44741,0.96669,-0.231785,0.00111066
0.284966,0.925511,-0.250993,0.000630174
0.455976,0.99965,-0.214001,0.0012126
0.455976,0.99965,-0.214001,0.0012126
0.295868,1.01513,-0.23958,0.000922582
0.178602,0.984746,-0.252223,0.000854723
0.178602,0.984746,-0.252223,0.000854723
0.264111,0.92427,-0.251989,0.000695801
0.28815,0.924813,-0.252398,0.000772128
0.134877,0.88292,-0.239417,0.000602837
0.276227,1.04566,-0.238513,0.000940774
0.455973,1.03764,-0.195937,0.00107005
0.495805,0.841051,-0.259189,0.000818091
0.692783,0.758903,-0.251936,0.00105265
0.692783,0.758903,-0.251936,0.00105265
0.692783,0.758903,-0.251936,0.00105265
0.534732,0.736025,-0.280777,0.000744855
0.534732,0.736025,-0.280777,0.000744855
0.635517,0.787971,-0.255064,0.00100334
0.721646,0.767077,-0.227733,0.00108215
0.721646,0.767077,-0.227733,0.00108215
0.833948,0.535048,-0.35554,0.000751014
0.686862,0.308303,-0.372966,0.000394559
0.767345,0.492156,-0.404769,0.000494073
0.767345,0.492156,-0.404769,0.000494073
0.767345,0.492156,-0.404769,0.000494073
0.767345,0.492156,-0.404769,0.000494073
0.638526,0.620692,-0.327652,0.000580472
0.765475,0.450212,-0.423645,0.000336596
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.921388,0.413037,-0.376302,0.000460267
0.828998,0.463104,-0.411914,0.000561283
0.983497,0.369637,-0.305804,0.000549812
0.983497,0.369637,-0.305804,0.000549812
0.878639,0.31449,-0.390713,0.000318837
0.721537,0.497063,-0.395113,0.000419996
0.721537,0.497063,-0.395113,0.000419996
0.553184,0.714441,-0.287018,0.000635501
0.553184,0.714441,-0.287018,0.000635501
0.397685,0.822193,-0.257997,0.000721006
0.508374,0.942606,-0.22276,0.00106274
0.433532,1.19092,-0.11844,0.00177339
0.433532,1.19092,-0.11844,0.00177339
0.313477,1.10535,-0.210459,0.00122253
0.313477,1.10535,-0.210459,0.00122253
0.313477,1.10535,-0.210459,0.00122253
0.398856,1.09968,-0.190975,0.00126833
