mu,sigma^2,energy,err
0.0407141,0.805238,-0.211036,0.000529572
0.0407141,0.805238,-0.211036,0.000529572
0.151573,0.829602,-0.227767,0.00056773
0.18326,0.80823,-0.223612,0.000490442
0.0429981,0.900902,-0.240288,0.00062401
0.0429981,0.900902,-0.240288,0.00062401
0.0165205,1.03293,-0.249877,0.000709238
0.0165205,1.03293,-0.249877,0.000709238
0.106277,0.912412,-0.243723,0.000580831
0.00885491,0.923801,-0.244385,0.000641957
0.243886,0.773975,-0.222279,0.000515367
0.314556,0.875902,-0.25273,0.000818285
0.135391,0.763443,-0.200012,0.00053316
0.135391,0.763443,-0.200012,0.00053316
0.301397,0.660617,-0.18768,0.000538841
0.227374,0.74449,-0.207015,0.000499165
0.227374,0.74449,-0.207015,0.000499165
0.457586,0.858326,-0.258384,0.000888069
0.457586,0.858326,-0.258384,0.000888069
0.298503,0.718141,-0.216424,0.00051209
0.368898,0.619839,-0.199966,0.00045965
0.381433,0.704259,-0.238319,0.000505197
0.504643,0.686417,-0.279216,0.000597239
0.363705,0.928366,-0.248906,0.000812617
0.430197,0.922134,-0.246564,0.000878212
0.311924,0.900351,-0.253277,0.000749119
0.382246,0.754285,-0.250725,0.000614422
0.577835,1.00017,-0.156354,0.00157932
0.577835,1.00017,-0.156354,0.00157932
0.53786,0.883252,-0.240405,0.00100412
0.53786,0.883252,-0.240405,0.00100412
0.468597,0.742572,-0.269432,0.000556022
0.634906,0.550546,-0.343614,0.000486964
0.538892,0.346678,-0.224001,0.000415041
0.538892,0.346678,-0.224001,0.000415041
0.658502,0.344753,-0.369161,0.000292348
0.658502,0.344753,-0.369161,0.000292348
0.658502,0.344753,-0.369161,0.000292348
0.705837,0.441443,-0.406406,0.000278299
0.705837,0.441443,-0.406406,0.000278299
0.705837,0.441443,-0.406406,0.000278299
0.700368,0.507746,-0.384756,0.000426465
0.700368,0.507746,-0.384756,0.000426465
0.847747,0.525307,-0.356075,0.000707801
0.847747,0.525307,-0.356075,0.000707801
0.847747,0.525307,-0.356075,0.000707801
0.658402,0.450407,-0.375737,0.000327777
0.69545,0.519893,-0.37797,0.000446633
0.854366,0.492827,-0.378042,0.00058453
0.854366,0.492827,-0.378042,0.00058453
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.817158,0.385892,-0.443152,0.000283066
0.627705,0.364209,-0.343544,0.000290338
0.740118,0.35948,-0.42906,0.000233352
0.740118,0.35948,-0.42906,0.000233352
0.740118,0.35948,-0.42906,0.000233352
0.740118,0.35948,-0.42906,0.000233352
0.740118,0.35948,-0.42906,0.000233352
0.740118,0.35948,-0.42906,0.000233352
0.866246,0.33092,-0.412131,0.000286276
0.866246,0.33092,-0.412131,0.000286276
0.866246,0.33092,-0.412131,0.000286276
0.918784,0.435883,-0.36606,0.000582425
0.918784,0.435883,-0.36606,0.000582425
0.931226,0.452183,-0.339352,0.000775338
0.931226,0.452183,-0.339352,0.000775338
0.799043,0.400902,-0.442514,0.000252871
0.713015,0.362104,-0.415674,0.000261897
0.715472,0.336256,-0.409426,0.000244055
0.715472,0.336256,-0.409426,0.000244055
0.625793,0.433729,-0.350145,0.000339166
0.698533,0.367805,-0.407396,0.000253529
0.698533,0.367805,-0.407396,0.000253529
0.698533,0.367805,-0.407396,0.000253529
0.698533,0.367805,-0.407396,0.000253529
0.646994,0.607578,-0.332288,0.000601046
0.575151,0.510386,-0.309688,0.000356929
0.643775,0.333689,-0.350198,0.000333671
0.643775,0.333689,-0.350198,0.000333671
0.858713,0.438775,-0.412911,0.000497131
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.748558,0.324812,-0.417937,0.000347515
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.769893,0.468661,-0.41572,0.000426922
0.727182,0.495161,-0.396873,0.000451867
0.727182,0.495161,-0.396873,0.000451867
0.727182,0.495161,-0.396873,0.000451867
0.727182,0.495161,-0.396873,0.000451867
0.727182,0.495161,-0.396873,0.000451867
0.727182,0.495161,-0.396873,0.000451867
0.679768,0.587303,-0.348355,0.000533562
0.499605,0.574463,-0.263179,0.000468377
0.499605,0.574463,-0.263179,0.000468377
0.499605,0.574463,-0.263179,0.000468377
0.492121,0.55195,-0.253284,0.000452819
0.720263,0.390109,-0.421785,0.00023731
0.720263,0.390109,-0.421785,0.00023731
0.720263,0.390109,-0.421785,0.00023731
0.720263,0.390109,-0.421785,0.00023731
0.678913,0.394285,-0.394262,0.00027323
0.678913,0.394285,-0.394262,0.00027323
0.678913,0.394285,-0.394262,0.00027323
0.599844,0.467267,-0.327539,0.000376535
0.599844,0.467267,-0.327539,0.000376535
0.599844,0.467267,-0.327539,0.000376535
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.730091,0.574771,-0.357314,0.000533989
0.702963,0.414949,-0.410296,0.000267697
0.702963,0.414949,-0.410296,0.000267697
0.702963,0.414949,-0.410296,0.000267697
0.756822,0.473912,-0.41263,0.000350554
0.756822,0.473912,-0.41263,0.000350554
0.756822,0.473912,-0.41263,0.000350554
0.756822,0.473912,-0.41263,0.000350554
0.642691,0.621174,-0.328798,0.000630709
